Day	Open	High	Low	Close
2024-07-03	1.628	1.628	1.628	1.628
2024-07-04	1.674	1.674	1.633	1.633
2024-07-05	1.633	1.634	1.608	1.608
2024-07-06	1.599	1.676	1.599	1.599
2024-07-07	1.674	1.674	1.626	1.626
2024-07-08	1.676	1.676	1.596	1.596
2024-07-09	1.676	1.676	1.609	1.609
2024-07-10	1.669	1.669	1.619	1.619
2024-07-11	1.599	1.666	1.583	1.583
2024-07-12	1.653	1.653	1.596	1.596
2024-07-13	1.589	1.628	1.589	1.619
2024-07-14	1.639	1.639	1.639	1.639
2024-07-15	1.593	1.646	1.589	1.589
2024-07-16	1.649	1.649	1.598	1.598
2024-07-17	1.598	1.649	1.598	1.599
2024-07-18	1.599	1.646	1.589	1.589
2024-07-19	1.589	1.619	1.589	1.589
2024-07-20	1.639	1.639	1.599	1.599
2024-07-21	1.599	1.599	1.596	1.596
2024-07-22	1.634	1.634	1.629	1.629
2024-07-23	1.639	1.639	1.583	1.583
2024-07-24	1.579	1.631	1.579	1.579
2024-07-25	1.639	1.639	1.576	1.576
2024-07-26	1.576	1.616	1.576	1.589
2024-07-27	1.576	1.599	1.576	1.579
2024-07-28	1.629	1.629	1.626	1.626
2024-07-29	1.599	1.639	1.599	1.639
2024-07-30	1.589	1.636	1.589	1.636
2024-07-31	1.596	1.598	1.583	1.583
2024-08-01	1.579	1.609	1.579	1.609
2024-08-02	1.662	1.662	1.596	1.596
2024-08-03	1.623	1.623	1.575	1.575
2024-08-04	1.569	1.613	1.552	1.552
2024-08-05	1.543	1.569	1.543	1.569
2024-08-06	1.569	1.589	1.559	1.559
2024-08-07	1.597	1.597	1.597	1.597
2024-08-08	1.529	1.529	1.529	1.529
